*->Kasvatus,*->Vuosi,*->Ika,*->N,*->PPA,*->Hg,*->Dg,*->Hdom,*->Tilavuus,*->Tukki,*->Kuitu,*->Hukka,*->Tuotos,*->Kuolleisuus,*->runko(*->aines),*->runko(*->hukka),*->elavat oksat,*->kuolleet oksat,*->lehdet,*->Kannot,*->Juuret >2mm,*->Hienojuuret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,6976.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,6,6976.57,0.13,0,0.84,2.67,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,11,6976.57,3.04,0,3.7,5.82,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,13,6976.57,5.4,0,4.69,6.93,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,13,1600,2.47,0,5.07,7.08,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,14,1545.67,2.93,6.54,5.77,8.38,10.4,0,1.46,8.94,18.8,0,0.662,4.115,1.032,0.072,0.574,0.646,2.304,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,19,1544.96,7.62,10.15,9.11,12.04,37.34,0,25.46,11.89,45.7,0.01,11.925,5.601,3.078,0.204,1.81,1.592,6.335,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,24,1544.14,13.79,13.41,12.14,15.4,86.64,0,75.83,10.81,95,0.02,36.16,5.169,6.245,0.415,2.859,3.113,12.587,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,29,1494.89,18.98,16.14,14.42,18.39,142.39,0,132.85,9.54,151.8,1.04,64.197,4.615,9.203,0.621,3.352,4.645,18.895,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,33,1456.58,22.36,17.94,15.85,20.5,185.97,8,169.65,8.32,196.5,2.14,86.598,4.055,11.221,0.767,3.529,5.771,23.519,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,33,916.35,15.05,18.16,16.29,20.41,126.72,6.27,115.41,5.04,196.5,2.14,59.303,2.456,8.332,0.523,2.572,3.945,15.818,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,38,903.98,18.64,20.32,18.16,22.81,174.86,19.05,151.1,4.71,245.1,2.65,83.692,2.315,11.334,0.682,2.93,5.216,20.746,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42,43,901.41,21.81,22.11,19.69,24.89,221.53,35.36,181.59,4.58,292,2.89,107.535,2.265,13.59,0.827,3.033,6.418,25.383,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,45,900.85,22.91,22.72,20.21,25.61,238.6,50.74,183.32,4.55,309.2,2.95,116.332,2.255,14.361,0.878,3.056,6.851,27.05,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,45,500.77,15.05,23.38,21.55,25.55,161.12,42.41,116.39,2.32,309.2,2.95,78.935,1.152,10.492,0.595,2.026,4.693,17.773,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,50,500.27,17.22,24.95,23,27.26,195.47,61.39,131.83,2.26,343.6,3.07,96.654,1.129,13.775,0.698,2.322,5.599,21.026,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,55,499.55,19.27,26.31,24.27,28.75,229.13,81.18,145.74,2.21,377.5,3.25,114.148,1.112,15.641,0.796,2.365,6.486,24.159,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,60,498.56,21.11,27.49,25.38,30.05,260.56,100.38,158,2.18,409.2,3.53,130.607,1.101,17.261,0.885,2.386,7.31,27.045,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,64,65,497.23,22.77,28.52,26.34,31.18,289.71,112.41,175.14,2.16,438.8,3.96,145.98,1.093,18.658,0.966,2.395,8.073,29.693,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,64,0,5,0,0,0,0,0,2.34,2.1,0.02,438.8,3.96,2.257,0.01,0.319,0.015,0.033,0.129,0.436,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
