OmaTunniste,OmaItä,OmaPohjoinen,Kunta,vuosi,kk,siteid,longitude,latitude,rainfall_sum,t_mean_avg,t_mean_min,t_mean_max,rainfall_stddev
Tampere,3335000,6835000,Tampere,1961,1,833,3335000,6835000,40,-5.364516139,-18.4,0.8,2.326564683
Tampere,3335000,6835000,Tampere,1961,2,833,3335000,6835000,16,-1.857142814,-11.4,2.2,0.959497223
Tampere,3335000,6835000,Tampere,1961,3,833,3335000,6835000,20,-1.24193546,-10.2,5.8,1.871690628
Tampere,3335000,6835000,Tampere,1961,4,833,3335000,6835000,9,1.363333296,-6.8,10.4,0.91538573
Tampere,3335000,6835000,Tampere,1961,5,833,3335000,6835000,41,9.212903207,2,20.3,4.229949541
Tampere,3335000,6835000,Tampere,1961,6,833,3335000,6835000,95,16.04333318,11.1,21,5.052028158
Tampere,3335000,6835000,Tampere,1961,7,833,3335000,6835000,102,15.31612904,11.4,18.7,5.871930678
Tampere,3335000,6835000,Tampere,1961,8,833,3335000,6835000,147,13.14516129,9.6,20.4,10.26634548
Tampere,3335000,6835000,Tampere,1961,9,833,3335000,6835000,14,8.966666635,4.9,13.1,1.736689942
Tampere,3335000,6835000,Tampere,1961,10,833,3335000,6835000,46,8.151612943,4.6,13.5,2.942458923
Tampere,3335000,6835000,Tampere,1961,11,833,3335000,6835000,25,1.133333327,-5.1,7.8,2.11860939
Tampere,3335000,6835000,Tampere,1961,12,833,3335000,6835000,27,-6.445161239,-20.3,2,2.012327599
Tampere,3335000,6835000,Tampere,1962,1,833,3335000,6835000,33,-5.464516127,-21.4,2.5,2.264736686
Tampere,3335000,6835000,Tampere,1962,2,833,3335000,6835000,37,-6.464285688,-16.4,0.5,2.000991818
Tampere,3335000,6835000,Tampere,1962,3,833,3335000,6835000,13,-9.222580646,-19.1,-0.7,1.336018801
Tampere,3335000,6835000,Tampere,1962,4,833,3335000,6835000,37,3.520000015,-0.6,7.8,2.500804468
Tampere,3335000,6835000,Tampere,1962,5,833,3335000,6835000,28,7.903225845,1.7,11.9,1.640220284
Tampere,3335000,6835000,Tampere,1962,6,833,3335000,6835000,51,11.39333339,5.3,16.2,3.052980454
Tampere,3335000,6835000,Tampere,1962,7,833,3335000,6835000,49,13.63870975,10.7,16.6,2.849259477
Tampere,3335000,6835000,Tampere,1962,8,833,3335000,6835000,52,11.89032265,9.3,14,2.226912613
Tampere,3335000,6835000,Tampere,1962,9,833,3335000,6835000,68,8.573333375,5.8,12.7,3.638238806
Tampere,3335000,6835000,Tampere,1962,10,833,3335000,6835000,54,5.929032227,-0.4,12.4,4.441979603
Tampere,3335000,6835000,Tampere,1962,11,833,3335000,6835000,38,0.319999993,-5.5,8.3,2.31834265
Tampere,3335000,6835000,Tampere,1962,12,833,3335000,6835000,22,-8.658064507,-25,2.8,2.238951367
Tampere,3335000,6835000,Tampere,1963,1,833,3335000,6835000,25,-10.89354834,-23.1,-3.8,1.851474275
Tampere,3335000,6835000,Tampere,1963,2,833,3335000,6835000,7,-12.33214292,-20.1,-3.5,0.585314097
Tampere,3335000,6835000,Tampere,1963,3,833,3335000,6835000,7,-9.506451559,-18.3,-0.6,0.668813747
Tampere,3335000,6835000,Tampere,1963,4,833,3335000,6835000,25,2.013333329,-8.7,7.6,2.245045631
Tampere,3335000,6835000,Tampere,1963,5,833,3335000,6835000,36,12.03548394,4.7,19.1,2.841323332
Tampere,3335000,6835000,Tampere,1963,6,833,3335000,6835000,30,13.20999991,8.2,17.9,1.947589137
Tampere,3335000,6835000,Tampere,1963,7,833,3335000,6835000,51,15.73225809,11.5,22.2,2.994977875
Tampere,3335000,6835000,Tampere,1963,8,833,3335000,6835000,85,15.17741942,12.2,22.6,4.973045626
Tampere,3335000,6835000,Tampere,1963,9,833,3335000,6835000,56,11.68999988,6,20.3,4.133407489
Tampere,3335000,6835000,Tampere,1963,10,833,3335000,6835000,77,4.735483885,-1.1,8,4.342587307
Tampere,3335000,6835000,Tampere,1963,11,833,3335000,6835000,39,-1.106666667,-9.8,5.2,2.276567289
Tampere,3335000,6835000,Tampere,1963,12,833,3335000,6835000,7,-5.145161286,-16.7,1.7,0.616964473
Tampere,3335000,6835000,Tampere,1964,1,833,3335000,6835000,9,-3.632258029,-13.2,1.4,0.69250985
Tampere,3335000,6835000,Tampere,1964,2,833,3335000,6835000,19,-11.24482757,-23.1,-0.9,1.518360537
Tampere,3335000,6835000,Tampere,1964,3,833,3335000,6835000,2,-6.154838758,-13,1.5,0.249731038
Tampere,3335000,6835000,Tampere,1964,4,833,3335000,6835000,18,2.346666694,-2.2,10.5,1.452702594
Tampere,3335000,6835000,Tampere,1964,5,833,3335000,6835000,33,8.735483816,4.4,15.3,2.365522971
Tampere,3335000,6835000,Tampere,1964,6,833,3335000,6835000,31,13.11666665,7.5,22,2.965122936
